coin,ticker,event_ticker,rank,favored_side,entry_price,opened_at,result,won,pnl,closed_at
XRP,KXXRPD-26SEP2217-T1.6999,KXXRPD-26SEP2217,13,no,0.91,2026-09-21T23:33:16.102910+00:00,no,True,0.0899999999999999,2026-09-22T22:39:07.063736+00:00
XRP,KXXRPD-26SEP2217-T1.6399,KXXRPD-26SEP2217,14,no,0.85,2026-09-21T23:33:16.102954+00:00,no,True,0.15,2026-09-22T22:39:07.063764+00:00
XRP,KXXRPD-26SEP2217-T1.5999,KXXRPD-26SEP2217,9,no,0.76,2026-09-21T23:33:16.102982+00:00,no,True,0.24,2026-09-22T22:39:07.063792+00:00
XRP,KXXRPD-26SEP2217-T1.5799,KXXRPD-26SEP2217,11,no,0.68,2026-09-21T23:33:16.103009+00:00,no,True,0.3199999999999999,2026-09-22T22:39:07.063820+00:00
XRP,KXXRPD-26SEP2217-T1.4999,KXXRPD-26SEP2217,15,yes,0.7,2026-09-21T23:33:16.103071+00:00,yes,True,0.3,2026-09-22T22:39:07.063850+00:00
XRP,KXXRPD-26SEP2217-T1.3799,KXXRPD-26SEP2217,12,yes,0.93,2026-09-21T23:33:16.103096+00:00,yes,True,0.0699999999999999,2026-09-22T22:39:07.063880+00:00
HYPE,KXHYPED-26SEP2217-T97.9999,KXHYPED-26SEP2217,5,no,0.86,2026-09-22T01:47:53.208690+00:00,no,True,0.14,2026-09-22T22:39:07.063932+00:00
HYPE,KXHYPED-26SEP2217-T96.9999,KXHYPED-26SEP2217,8,no,0.8,2026-09-22T01:47:53.208742+00:00,no,True,0.1999999999999999,2026-09-22T22:39:07.063960+00:00
HYPE,KXHYPED-26SEP2217-T95.9999,KXHYPED-26SEP2217,9,no,0.74,2026-09-22T01:47:53.208780+00:00,yes,False,-0.74,2026-09-22T22:39:07.063995+00:00
HYPE,KXHYPED-26SEP2217-T94.9999,KXHYPED-26SEP2217,7,no,0.64,2026-09-22T01:47:53.208814+00:00,yes,False,-0.64,2026-09-22T22:39:07.064024+00:00
SOL,KXSOLD-26SEP2217-T133.9999,KXSOLD-26SEP2217,5,no,0.95,2026-09-22T01:47:53.255381+00:00,no,True,0.05,2026-09-22T22:39:07.064052+00:00
SOL,KXSOLD-26SEP2217-T127.9999,KXSOLD-26SEP2217,9,no,0.94,2026-09-22T01:47:53.255433+00:00,no,True,0.06,2026-09-22T22:39:07.064079+00:00
SOL,KXSOLD-26SEP2217-T124.9999,KXSOLD-26SEP2217,6,no,0.88,2026-09-22T01:47:53.255491+00:00,no,True,0.12,2026-09-22T22:39:07.064109+00:00
SOL,KXSOLD-26SEP2217-T118.9999,KXSOLD-26SEP2217,8,no,0.62,2026-09-22T01:47:53.255562+00:00,no,True,0.38,2026-09-22T22:39:07.064137+00:00
XRP,KXXRPD-26SEP2217-T1.7799,KXXRPD-26SEP2217,12,no,0.95,2026-09-22T01:47:53.359652+00:00,no,True,0.05,2026-09-22T22:39:07.064189+00:00
XRP,KXXRPD-26SEP2217-T1.6599,KXXRPD-26SEP2217,10,no,0.91,2026-09-22T01:47:53.359702+00:00,no,True,0.0899999999999999,2026-09-22T22:39:07.064220+00:00
XRP,KXXRPD-26SEP2217-T1.6199,KXXRPD-26SEP2217,9,no,0.89,2026-09-22T01:47:53.359739+00:00,no,True,0.1099999999999999,2026-09-22T22:39:07.064249+00:00
